ward_number,municipality,district,province
5,Letang Municipality,Morang,Koshi Province
6,Letang Municipality,Morang,Koshi Province
7,Letang Municipality,Morang,Koshi Province
8,Letang Municipality,Morang,Koshi Province
9,Letang Municipality,Morang,Koshi Province
1,Biratnagar Metropolitan City,Morang,Koshi Province
2,Biratnagar Metropolitan City,Morang,Koshi Province
3,Biratnagar Metropolitan City,Morang,Koshi Province
4,Biratnagar Metropolitan City,Morang,Koshi Province
5,Biratnagar Metropolitan City,Morang,Koshi Province
6,Biratnagar Metropolitan City,Morang,Koshi Province
7,Biratnagar Metropolitan City,Morang,Koshi Province
8,Biratnagar Metropolitan City,Morang,Koshi Province
9,Biratnagar Metropolitan City,Morang,Koshi Province
10,Biratnagar Metropolitan City,Morang,Koshi Province
11,Biratnagar Metropolitan City,Morang,Koshi Province
12,Biratnagar Metropolitan City,Morang,Koshi Province
13,Biratnagar Metropolitan City,Morang,Koshi Province
14,Biratnagar Metropolitan City,Morang,Koshi Province
15,Biratnagar Metropolitan City,Morang,Koshi Province
16,Biratnagar Metropolitan City,Morang,Koshi Province
17,Biratnagar Metropolitan City,Morang,Koshi Province
18,Biratnagar Metropolitan City,Morang,Koshi Province
19,Biratnagar Metropolitan City,Morang,Koshi Province
1,Jahada Rural Municipality,Morang,Koshi Province
2,Jahada Rural Municipality,Morang,Koshi Province
3,Jahada Rural Municipality,Morang,Koshi Province
4,Jahada Rural Municipality,Morang,Koshi Province
5,Jahada Rural Municipality,Morang,Koshi Province
6,Jahada Rural Municipality,Morang,Koshi Province
7,Jahada Rural Municipality,Morang,Koshi Province
1,Budi Ganga Rural Municipality,Morang,Koshi Province
2,Budi Ganga Rural Municipality,Morang,Koshi Province
3,Budi Ganga Rural Municipality,Morang,Koshi Province
4,Budi Ganga Rural Municipality,Morang,Koshi Province
5,Budi Ganga Rural Municipality,Morang,Koshi Province
6,Budi Ganga Rural Municipality,Morang,Koshi Province
7,Budi Ganga Rural Municipality,Morang,Koshi Province
1,Katahari Rural Municipality,Morang,Koshi Province
2,Katahari Rural Municipality,Morang,Koshi Province
3,Katahari Rural Municipality,Morang,Koshi Province
4,Katahari Rural Municipality,Morang,Koshi Province
5,Katahari Rural Municipality,Morang,Koshi Province
6,Katahari Rural Municipality,Morang,Koshi Province
7,Katahari Rural Municipality,Morang,Koshi Province
1,Dhanpalthan Rural Municipality,Morang,Koshi Province
2,Dhanpalthan Rural Municipality,Morang,Koshi Province
3,Dhanpalthan Rural Municipality,Morang,Koshi Province
4,Dhanpalthan Rural Municipality,Morang,Koshi Province
5,Dhanpalthan Rural Municipality,Morang,Koshi Province
6,Dhanpalthan Rural Municipality,Morang,Koshi Province
7,Dhanpalthan Rural Municipality,Morang,Koshi Province
1,Kanepokhari Rural Municipality,Morang,Koshi Province
2,Kanepokhari Rural Municipality,Morang,Koshi Province
3,Kanepokhari Rural Municipality,Morang,Koshi Province
4,Kanepokhari Rural Municipality,Morang,Koshi Province
5,Kanepokhari Rural Municipality,Morang,Koshi Province
6,Kanepokhari Rural Municipality,Morang,Koshi Province
7,Kanepokhari Rural Municipality,Morang,Koshi Province
1,Gramthan Rural Municipality,Morang,Koshi Province
2,Gramthan Rural Municipality,Morang,Koshi Province
3,Gramthan Rural Municipality,Morang,Koshi Province
4,Gramthan Rural Municipality,Morang,Koshi Province
5,Gramthan Rural Municipality,Morang,Koshi Province
6,Gramthan Rural Municipality,Morang,Koshi Province
7,Gramthan Rural Municipality,Morang,Koshi Province
1,Kerabari Rural Municipality,Morang,Koshi Province
2,Kerabari Rural Municipality,Morang,Koshi Province
3,Kerabari Rural Municipality,Morang,Koshi Province
4,Kerabari Rural Municipality,Morang,Koshi Province
5,Kerabari Rural Municipality,Morang,Koshi Province
6,Kerabari Rural Municipality,Morang,Koshi Province
7,Kerabari Rural Municipality,Morang,Koshi Province
8,Kerabari Rural Municipality,Morang,Koshi Province
9,Kerabari Rural Municipality,Morang,Koshi Province
10,Kerabari Rural Municipality,Morang,Koshi Province
1,Miklajung Rural Municipality,Morang,Koshi Province
2,Miklajung Rural Municipality,Morang,Koshi Province
3,Miklajung Rural Municipality,Morang,Koshi Province
4,Miklajung Rural Municipality,Morang,Koshi Province
5,Miklajung Rural Municipality,Morang,Koshi Province
6,Miklajung Rural Municipality,Morang,Koshi Province
7,Miklajung Rural Municipality,Morang,Koshi Province
8,Miklajung Rural Municipality,Morang,Koshi Province
9,Miklajung Rural Municipality,Morang,Koshi Province
1,Siddhicharan Municipality,Okhaldhunga,Koshi Province
2,Siddhicharan Municipality,Okhaldhunga,Koshi Province
3,Siddhicharan Municipality,Okhaldhunga,Koshi Province
4,Siddhicharan Municipality,Okhaldhunga,Koshi Province
5,Siddhicharan Municipality,Okhaldhunga,Koshi Province
6,Siddhicharan Municipality,Okhaldhunga,Koshi Province
7,Siddhicharan Municipality,Okhaldhunga,Koshi Province
8,Siddhicharan Municipality,Okhaldhunga,Koshi Province
9,Siddhicharan Municipality,Okhaldhunga,Koshi Province
10,Siddhicharan Municipality,Okhaldhunga,Koshi Province
11,Siddhicharan Municipality,Okhaldhunga,Koshi Province
12,Siddhicharan Municipality,Okhaldhunga,Koshi Province
1,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
2,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
3,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
4,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
5,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
6,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
7,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
8,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
9,Khiji Demba Rural Municipality,Okhaldhunga,Koshi Province
1,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
2,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
3,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
4,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
5,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
6,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
7,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
8,Chisankhugadhi Rural Municipality,Okhaldhunga,Koshi Province
1,Molung Rural Municipality,Okhaldhunga,Koshi Province
2,Molung Rural Municipality,Okhaldhunga,Koshi Province
3,Molung Rural Municipality,Okhaldhunga,Koshi Province
4,Molung Rural Municipality,Okhaldhunga,Koshi Province
5,Molung Rural Municipality,Okhaldhunga,Koshi Province
6,Molung Rural Municipality,Okhaldhunga,Koshi Province
7,Molung Rural Municipality,Okhaldhunga,Koshi Province
8,Molung Rural Municipality,Okhaldhunga,Koshi Province
1,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
2,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
3,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
4,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
5,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
6,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
7,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
8,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
9,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
10,Sunkoshi Rural Municipality,Okhaldhunga,Koshi Province
1,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
2,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
3,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
4,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
5,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
6,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
7,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
8,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
9,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
10,Champadevi Rural Municipality,Okhaldhunga,Koshi Province
1,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
2,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
3,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
4,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
5,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
6,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
7,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
8,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
9,Manebhanjyang Rural Municipality,Okhaldhunga,Koshi Province
1,Likhu Rural Municipality,Okhaldhunga,Koshi Province
2,Likhu Rural Municipality,Okhaldhunga,Koshi Province
3,Likhu Rural Municipality,Okhaldhunga,Koshi Province
4,Likhu Rural Municipality,Okhaldhunga,Koshi Province
5,Likhu Rural Municipality,Okhaldhunga,Koshi Province
6,Likhu Rural Municipality,Okhaldhunga,Koshi Province
7,Likhu Rural Municipality,Okhaldhunga,Koshi Province
8,Likhu Rural Municipality,Okhaldhunga,Koshi Province
9,Likhu Rural Municipality,Okhaldhunga,Koshi Province
1,Phidim Municipality,Pachthar,Koshi Province
2,Phidim Municipality,Pachthar,Koshi Province
3,Phidim Municipality,Pachthar,Koshi Province
4,Phidim Municipality,Pachthar,Koshi Province
5,Phidim Municipality,Pachthar,Koshi Province
6,Phidim Municipality,Pachthar,Koshi Province
7,Phidim Municipality,Pachthar,Koshi Province
8,Phidim Municipality,Pachthar,Koshi Province
9,Phidim Municipality,Pachthar,Koshi Province
10,Phidim Municipality,Pachthar,Koshi Province
11,Phidim Municipality,Pachthar,Koshi Province
12,Phidim Municipality,Pachthar,Koshi Province
13,Phidim Municipality,Pachthar,Koshi Province
14,Phidim Municipality,Pachthar,Koshi Province
1,Miklajung Rural Municipality,Pachthar,Koshi Province
2,Miklajung Rural Municipality,Pachthar,Koshi Province
3,Miklajung Rural Municipality,Pachthar,Koshi Province
4,Miklajung Rural Municipality,Pachthar,Koshi Province
5,Miklajung Rural Municipality,Pachthar,Koshi Province
6,Miklajung Rural Municipality,Pachthar,Koshi Province
7,Miklajung Rural Municipality,Pachthar,Koshi Province
8,Miklajung Rural Municipality,Pachthar,Koshi Province
1,Phalgunanda Rural Municipality,Pachthar,Koshi Province
2,Phalgunanda Rural Municipality,Pachthar,Koshi Province
3,Phalgunanda Rural Municipality,Pachthar,Koshi Province
4,Phalgunanda Rural Municipality,Pachthar,Koshi Province
5,Phalgunanda Rural Municipality,Pachthar,Koshi Province
6,Phalgunanda Rural Municipality,Pachthar,Koshi Province
7,Phalgunanda Rural Municipality,Pachthar,Koshi Province
1,Hilihang Rural Municipality,Pachthar,Koshi Province
2,Hilihang Rural Municipality,Pachthar,Koshi Province
3,Hilihang Rural Municipality,Pachthar,Koshi Province
4,Hilihang Rural Municipality,Pachthar,Koshi Province
5,Hilihang Rural Municipality,Pachthar,Koshi Province
6,Hilihang Rural Municipality,Pachthar,Koshi Province
7,Hilihang Rural Municipality,Pachthar,Koshi Province
1,Phalelung Rural Municipality,Pachthar,Koshi Province
2,Phalelung Rural Municipality,Pachthar,Koshi Province
3,Phalelung Rural Municipality,Pachthar,Koshi Province
4,Phalelung Rural Municipality,Pachthar,Koshi Province
5,Phalelung Rural Municipality,Pachthar,Koshi Province
6,Phalelung Rural Municipality,Pachthar,Koshi Province
7,Phalelung Rural Municipality,Pachthar,Koshi Province
8,Phalelung Rural Municipality,Pachthar,Koshi Province
1,Yangwarak Rural Municipality,Pachthar,Koshi Province
2,Yangwarak Rural Municipality,Pachthar,Koshi Province
3,Yangwarak Rural Municipality,Pachthar,Koshi Province
4,Yangwarak Rural Municipality,Pachthar,Koshi Province
5,Yangwarak Rural Municipality,Pachthar,Koshi Province
6,Yangwarak Rural Municipality,Pachthar,Koshi Province
1,Kummayak Rural Municipality,Pachthar,Koshi Province
2,Kummayak Rural Municipality,Pachthar,Koshi Province
3,Kummayak Rural Municipality,Pachthar,Koshi Province
4,Kummayak Rural Municipality,Pachthar,Koshi Province
5,Kummayak Rural Municipality,Pachthar,Koshi Province
1,Tumbewa Rural Municipality,Pachthar,Koshi Province
2,Tumbewa Rural Municipality,Pachthar,Koshi Province
3,Tumbewa Rural Municipality,Pachthar,Koshi Province
4,Tumbewa Rural Municipality,Pachthar,Koshi Province
5,Tumbewa Rural Municipality,Pachthar,Koshi Province
1,Khandbari Municipality,Sankhuwasabha,Koshi Province
2,Khandbari Municipality,Sankhuwasabha,Koshi Province
3,Khandbari Municipality,Sankhuwasabha,Koshi Province
4,Khandbari Municipality,Sankhuwasabha,Koshi Province
5,Khandbari Municipality,Sankhuwasabha,Koshi Province
6,Khandbari Municipality,Sankhuwasabha,Koshi Province
7,Khandbari Municipality,Sankhuwasabha,Koshi Province
8,Khandbari Municipality,Sankhuwasabha,Koshi Province
9,Khandbari Municipality,Sankhuwasabha,Koshi Province
10,Khandbari Municipality,Sankhuwasabha,Koshi Province
11,Khandbari Municipality,Sankhuwasabha,Koshi Province
1,Chainpur Municipality,Sankhuwasabha,Koshi Province
2,Chainpur Municipality,Sankhuwasabha,Koshi Province
3,Chainpur Municipality,Sankhuwasabha,Koshi Province
4,Chainpur Municipality,Sankhuwasabha,Koshi Province
5,Chainpur Municipality,Sankhuwasabha,Koshi Province
6,Chainpur Municipality,Sankhuwasabha,Koshi Province
7,Chainpur Municipality,Sankhuwasabha,Koshi Province
8,Chainpur Municipality,Sankhuwasabha,Koshi Province
9,Chainpur Municipality,Sankhuwasabha,Koshi Province
10,Chainpur Municipality,Sankhuwasabha,Koshi Province
11,Chainpur Municipality,Sankhuwasabha,Koshi Province
1,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
2,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
3,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
4,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
5,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
6,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
7,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
8,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
9,Dharmadevi Municipality,Sankhuwasabha,Koshi Province
1,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
2,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
3,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
4,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
5,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
6,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
7,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
8,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
9,Panchkhapan Municipality,Sankhuwasabha,Koshi Province
1,Madi Municipality,Sankhuwasabha,Koshi Province
2,Madi Municipality,Sankhuwasabha,Koshi Province
3,Madi Municipality,Sankhuwasabha,Koshi Province
4,Madi Municipality,Sankhuwasabha,Koshi Province
5,Madi Municipality,Sankhuwasabha,Koshi Province
6,Madi Municipality,Sankhuwasabha,Koshi Province
7,Madi Municipality,Sankhuwasabha,Koshi Province
8,Madi Municipality,Sankhuwasabha,Koshi Province
9,Madi Municipality,Sankhuwasabha,Koshi Province
1,Makalu Rural Municipality,Sankhuwasabha,Koshi Province
2,Makalu Rural Municipality,Sankhuwasabha,Koshi Province
3,Makalu Rural Municipality,Sankhuwasabha,Koshi Province
4,Makalu Rural Municipality,Sankhuwasabha,Koshi Province
5,Makalu Rural Municipality,Sankhuwasabha,Koshi Province
6,Makalu Rural Municipality,Sankhuwasabha,Koshi Province
1,Silichong Rural Municipality,Sankhuwasabha,Koshi Province
2,Silichong Rural Municipality,Sankhuwasabha,Koshi Province
3,Silichong Rural Municipality,Sankhuwasabha,Koshi Province
4,Silichong Rural Municipality,Sankhuwasabha,Koshi Province
5,Silichong Rural Municipality,Sankhuwasabha,Koshi Province
1,Sabhapokhari Rural Municipality,Sankhuwasabha,Koshi Province
2,Sabhapokhari Rural Municipality,Sankhuwasabha,Koshi Province
3,Sabhapokhari Rural Municipality,Sankhuwasabha,Koshi Province
4,Sabhapokhari Rural Municipality,Sankhuwasabha,Koshi Province
5,Sabhapokhari Rural Municipality,Sankhuwasabha,Koshi Province
6,Sabhapokhari Rural Municipality,Sankhuwasabha,Koshi Province
1,Chichila Rural Municipality,Sankhuwasabha,Koshi Province
2,Chichila Rural Municipality,Sankhuwasabha,Koshi Province
3,Chichila Rural Municipality,Sankhuwasabha,Koshi Province
4,Chichila Rural Municipality,Sankhuwasabha,Koshi Province
5,Chichila Rural Municipality,Sankhuwasabha,Koshi Province
1,BhotKhola Rural Municipality,Sankhuwasabha,Koshi Province
2,BhotKhola Rural Municipality,Sankhuwasabha,Koshi Province
3,BhotKhola Rural Municipality,Sankhuwasabha,Koshi Province
4,BhotKhola Rural Municipality,Sankhuwasabha,Koshi Province
5,BhotKhola Rural Municipality,Sankhuwasabha,Koshi Province
1,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
2,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
3,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
4,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
5,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
6,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
7,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
8,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
9,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
10,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
11,Solu Dudhkunda Municipality,Solukhumbu,Koshi Province
1,Mapya Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
2,Mapya Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
3,Mapya Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
4,Mapya Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
5,Mapya Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
6,Mapya Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
7,Mapya Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
1,Necha Salyan Rural Municipality,Solukhumbu,Koshi Province
2,Necha Salyan Rural Municipality,Solukhumbu,Koshi Province
3,Necha Salyan Rural Municipality,Solukhumbu,Koshi Province
4,Necha Salyan Rural Municipality,Solukhumbu,Koshi Province
5,Necha Salyan Rural Municipality,Solukhumbu,Koshi Province
1,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
2,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
3,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
4,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
5,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
6,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
7,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
8,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
9,Thulung Dudhkoshi Rural Municipality,Solukhumbu,Koshi Province
1,Maha Kulung Rural Municipality,Solukhumbu,Koshi Province
2,Maha Kulung Rural Municipality,Solukhumbu,Koshi Province
3,Maha Kulung Rural Municipality,Solukhumbu,Koshi Province
4,Maha Kulung Rural Municipality,Solukhumbu,Koshi Province
5,Maha Kulung Rural Municipality,Solukhumbu,Koshi Province
